date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2025-06-02,105642.93,105935.63,103659.88,105857.99,13453.98813,0,106055.42571428571,104497.314,0.021541905359875952,0.01800741795873817
2025-06-03,105858.0,106794.67,104872.5,105376.89,13259.52634,0,105546.67142857143,104867.28966666666,0.018158004118725066,0.007505458358717743
2025-06-04,105376.9,106000.0,104179.0,104696.86,14034.89482,0,105105.96857142857,105199.39566666666,0.0172808272021667,-0.008955355554791877
2025-06-05,104696.86,105909.71,100372.26,101508.68,22321.50154,1,104522.95857142856,105355.21766666668,0.0528903159082327,-0.0410862703892263
2025-06-06,101508.69,105333.0,101095.8,104288.44,15839.07385,1,104566.23857142856,105597.149,0.041742239014216385,-0.010329114856208022
2025-06-07,104288.43,105900.0,103871.09,105552.15,8344.93206,1,104703.42,105673.50066666667,0.019454794745687547,0.00816920392836984
2025-06-08,105552.15,106488.14,104964.14,105734.0,8048.06305,1,104716.43000000001,105765.56766666665,0.014438360563948722,0.04162520879987808
2025-06-09,105734.01,110530.17,105318.37,110263.02,19975.37451,1,105345.72,105947.35066666667,0.049291613928195886,0.05728899578898683
2025-06-10,110263.02,110400.0,108331.03,110274.39,17071.82839,0,106045.36285714286,106152.56366666667,0.01876395186709017,0.04473845393011899
2025-06-11,110274.39,110392.01,108064.0,108645.12,13115.91638,0,106609.4,106347.69033333333,0.021111066676496645,0.027532487184822152
2025-06-12,108645.13,108813.55,105671.72,105671.73,17778.67218,1,107204.12142857142,106399.95733333332,0.02891827733097656,-0.04163943632235001
2025-06-13,105671.74,106179.53,102664.31,106066.59,26180.81734,0,107458.14285714284,106485.24966666667,0.03326546908378722,-0.03815754501113089
2025-06-14,106066.59,106252.0,104300.0,105414.64,8798.93969,1,107438.49857142857,106540.28066666666,0.018403533101233858,-0.029734239328927048
2025-06-15,105414.63,106128.57,104494.53,105594.01,7164.20047,1,107418.5,106611.28433333333,0.01550107418676144,-0.0007354852617630359
2025-06-16,105594.02,108952.38,104980.37,106794.53,14922.6654,0,106923.00142857143,106733.54699999999,0.03761586120123099,0.006863047072598549
2025-06-17,106794.53,107771.34,103371.02,104551.17,17866.33025,1,106105.39857142858,106670.11066666667,0.04120360846196891,-0.008191177240656544
2025-06-18,104551.17,105550.27,103500.0,104886.78,13968.64167,0,105568.49285714285,106647.212,0.019610206179423953,-0.006697633701002514
2025-06-19,104886.79,105226.17,103929.27,104658.59,7678.60737,0,105423.75857142858,106574.16533333334,0.012364760138049742,-0.020000462570508026
2025-06-20,104658.59,106524.65,102345.0,103297.99,16419.06283,0,105028.2442857143,106362.632,0.0399360434723991,-0.011986283845508261
2025-06-21,103297.98,103982.64,100837.9,102120.01,11154.21332,0,104557.58285714287,106043.42533333333,0.030443383307205092,-0.026378634180589833
2025-06-22,102120.02,103399.62,98200.0,100963.87,28746.41072,1,103896.13428571427,105831.611,0.050916754618731914,-0.035302596757705196
2025-06-23,100963.87,106074.2,99613.33,105333.93,27666.50609,1,103687.47714285714,105750.67833333333,0.06399190126131254,0.01970938640722819
